team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Iowa State,9,1,3:41,84,128,9,12,12,6,12,12,14,7
Minnesota,35,0,3:40,95,200,12,13,13,13,11,11,12,10
Poly Montreal,55,0,4:28,95,176,10,12,13,12,11,12,13,12
Calgary,65,3,4:09,85,162,5,11,12,12,11,12,12,10
NC State,99,0,3:01,37,38,9,0,5,0,0,1,12,10
App State,828,0,4:05,82,108,10,14,11,14,11,7,10,5
modified,7 July 2022 â€“ 6:35pm US Central,,,,,,,,,,,,
